SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0160407,SENECA COUNTY SEWER DISTRICT #1 STP,Surface,0.70,CO RTE 132,WILLARD,NY,USA,14588,42.67,-76.87,"CO RTE 132
WILLARD, NY 14588
(42.67, -76.87)"
NY0246972,SENECA COUNTY SEWER DISTRICT #2  -W/ 2 WWTPS,Surface,0.66,FORMER HILLSIDE & 5 PTS CORRECTIONAL WWTPS,SENECA COUNTY,NY,USA,,42.75,-76.85,"FORMER HILLSIDE &amp; 5 PTS CORRECTIONAL WWTPS
SENECA COUNTY, NY
(42.75, -76.85)"
NY0033308,SENECA FALLS WASTEWATER TREATMENT,Surface,3.50,9.5 SENECA ST,SENECA FALLS,NY,USA,13148,42.91,-76.78,"9.5 SENECA ST
SENECA FALLS, NY 13148
(42.91, -76.78)"
NY0240770,SEWAGE SYSTEM HAMLET OF RENSSELAERVILLE,Ground,0.02,MAIN ST,RENSSELAERVILLE,NY,USA,12120,42.51,-74.13,"MAIN ST
RENSSELAERVILLE, NY 12120
(42.51, -74.13)"
NY0212199,SEWARD - T STP,Surface,0.02,ST RTE 165 AT WEST CREEK,SEWARD,NY,USA,13459,42.71,-74.61,"ST RTE 165 AT WEST CREEK
SEWARD, NY 13459
(42.71, -74.61)"
NY0213292,SEWER DIST #4 - QUINN ESTATES,Surface,0.06,ST RTES 12 & 12A,BINGHAMTON,NY,USA,13901,42.17,-75.88,"ST RTES 12 &amp; 12A
BINGHAMTON, NY 13901
(42.17, -75.88)"
NY0259519,SEWER DISTRICT #8 BLACK MEADOW CREEK,Surface,1.00,ST RTE 94,CHESTER,NY,USA,10918,41.34,-74.29,"ST RTE 94
CHESTER, NY 10918
(41.34, -74.29)"
NY0033588,SHARON SPRINGS STP,Surface,0.43,ST RTE 10 @ NORTH VILLAGE LINE,SHARON SPRINGS,NY,USA,13459,42.80,-74.61,"ST RTE 10 @ NORTH VILLAGE LINE
SHARON SPRINGS, NY 13459
(42.80, -74.61)"
NY0021521,SHAWANGUNK WALLKILL SEWER DISTRICT,Surface,0.64,HOFFMAN RD,WALLKILL,NY,USA,12589,41.63,-74.18,"HOFFMAN RD
WALLKILL, NY 12589
(41.63, -74.18)"
NY0021466,SHERBURNE - V STP,Surface,0.43,WEST STATE ST,SHERBURNE,NY,USA,13460,42.67,-75.50,"WEST STATE ST
SHERBURNE, NY 13460
(42.67, -75.50)"
NY0036315,SHERMAN WASTEWATER TREATMENT PLT,Surface,0.14,30 HART ST,SHERMAN,NY,USA,14781,42.15,-79.60,"30 HART ST
SHERMAN, NY 14781
(42.15, -79.60)"
NY0029271,SIDNEY - V STP,Surface,1.70,72 RIVER ST,SIDNEY,NY,USA,13838,42.31,-75.40,"72 RIVER ST
SIDNEY, NY 13838
(42.31, -75.40)"
